鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
龜山區,房地(土地+建物),桃園市龜山區華亞三路３９巷２７號五樓,5.73,都市：其他:中心商業區,,,1081120,土地1建物1車位0,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,57.95,1,1,1,有,有,4620000,79724,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTNMLPKRHGGFHH66DA,33.65,4.3,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區華亞三路３９巷３９號二十三樓,5.02,都市：其他:中心商業區,,,1100603,土地1建物1車位0,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,57.290000000000006,1,1,1,有,有,4750000,82912,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSRMLQKRHGGFHH07DA,31.94,5.59,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷４１號十二樓,5.73,都市：其他:中心商業區,,,1080830,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,86.86,1,1,1,有,有,5880000,77097,坡道平面,29.4,1450000,預售屋、或土地及建物分件登記案件；,RPVRMLQKRHGGFHH37DA,32.04,5.59,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷４７號十七樓,5.02,都市：其他:中心商業區,,,1080321,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,83.50999999999999,1,1,1,有,有,5500000,76696,坡道平面,29.4,1350000,預售屋、或土地及建物分件登記案件；,RPWNMLRKRHGGFHH17DA,28.46,7.01,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區華亞三路３９巷３９號四樓,5.02,都市：其他:中心商業區,,,1080201,土地1建物1車位0,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,57.290000000000006,1,1,1,有,有,4310000,75231,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQVOLRJRHGGFHH47DA,31.94,5.59,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區華亞三路３９巷３９號十一樓,5.02,都市：其他:中心商業區,,,1080731,土地1建物1車位0,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,57.290000000000006,1,1,1,有,有,4730000,82562,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPWOLRJRHGGFHH47DA,31.94,5.59,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷５號二十二樓,10.75,都市：其他:中心商業區,,,1100627,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,138.98,3,2,2,有,有,11580000,88337,坡道平面,29.4,1900000,預售屋、或土地及建物分件登記案件；,RPTNMLRLRHGGFHH96DA,63.46,9.45,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷２７號十四樓,6.09,都市：其他:中心商業區,,,1080201,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,87.36,1,1,1,有,有,6340000,80055,坡道平面,29.4,1700000,預售屋、或土地及建物分件登記案件；,RPTOMLRLRHGGFHH07DA,33.65,4.3,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區華亞三路３９巷４３號十八樓,7.17,都市：其他:中心商業區,,,1090205,土地1建物1車位0,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,78.75,2,2,1,有,有,5800000,73651,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQQMLRLRHGGFHH96DA,42.39,9.22,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路５２９號七樓之１０,13.47,都市：其他:中心商業區,,,1100901,土地1建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100528,189.12,4,1,4,有,有,16000000,84602,坡道平面,0.0,0,,RPTUMLOJIIGGFHH98DA,87.76,15.87,0.0,有,397.0
龜山區,房地(土地+建物)+車位,桃園市龜山區文興路３８號十三樓,20.13,都市：其他:中心商業區,,,1100911,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,241.93,4,2,2,有,有,23770000,97240,坡道平面,18.05,2000000,,RPQOMLOKIIGGFHH18DA,135.81,18.12,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路２４７號四樓之２,23.47,都市：其他:第五種住宅區(供合宜住宅使用),,,1100918,土地1建物1車位2,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041113,216.25,3,2,2,有,有,9360000,43283,坡道平面,0.0,0,,RPOOMLNKIIGGFHH87DA,106.89,9.12,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區莊二街１５２號四樓,23.94,都市：其他:住宅區,,,1100821,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890922,208.01999999999998,3,2,2,有,有,15300000,73551,坡道平面,0.0,0,,RPOQMLNKIIGGFAH47EA,119.94,19.87,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區莊一街２７號十一樓,80.83,都市：其他:住宅區,,,1100929,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950316,381.8,4,2,3,有,有,37800000,99005,坡道平面,0.0,0,,RPWSMLPKIIGGFAH68EA,224.93,20.56,0.0,有,401.0
中壢區,房地(土地+建物)+車位,桃園市中壢區環西路二段２７８號六樓,6.49,都市：其他:住宅區,,,1100831,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000628,90.03,2,2,1,有,有,7280000,80258,坡道平面,15.52,1300000,其他增建；,RPWQMLNKIIGGFBH38EA,43.74,7.28,0.0,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍陵路２５號五樓,16.07,都市：其他:住宅區,,,1100815,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050407,125.87,2,2,1,有,有,7550000,69911,坡道平面,35.04,1200000,其他增建；,RPURMLOKIIGGFBH38EA,58.02,4.92,0.0,有,402.0
中壢區,房地(土地+建物)+車位,桃園市中壢區環北路３４６號二樓之１,11.43,都市：其他:住宅區,,,1100913,土地1建物1車位1,二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,159.14,3,2,2,有,有,13520000,94192,坡道平面,32.59,1600000,,RPVRMLOKIIGGFBH48EA,88.99,11.62,0.0,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松義二街２０號十三樓,19.54,都市：其他:住宅區,,,1100911,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060519,128.39,2,2,1,有,有,6900000,63737,坡道平面,38.96,1200000,,RPWRMLOKIIGGFBH58EA,56.93,3.97,0.0,有,403.0
中壢區,房地(土地+建物)+車位,桃園市中壢區福壽六街７號十三樓之２,36.42,都市：其他:住宅區,,,1100909,土地1建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991230,235.37,4,2,3,有,有,13500000,61196,坡道平面,36.01,1300000,陽台外推；,RPVQMLPKIIGGFBH48EA,110.13,22.2,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區文學路２４７號六樓之３,17.37,都市：其他:第五種住宅區(供合宜住宅使用),,,1101005,土地1建物1車位0,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041113,122.82000000000001,2,2,2,有,有,10000000,81420,,0.0,0,,RPQRMLOKIIGGFHH58EA,77.67,9.12,0.0,有,410.0
